feat_0,feat_1,feat_2
10.248357076505616,5.037567350794372,5.935377785269171
10.191534316543017,5.264406905316204,6.285196561989446
10.841224043380056,5.796689250909685,6.696260192486306
11.527764033573368,6.238649580490737,7.242141449042053
10.88643066084176,6.3336961267743686,7.578933451647554
11.108502026110358,6.486066246794768,7.678645613015956
12.218700619611074,6.319402493657973,7.239345871463074
11.994743850128033,6.285018464168318,7.592910024936097
11.533918658036555,5.91825652413675,7.20366826181503
12.170934126725022,6.630533194735903,7.508960723383204
11.770404186184075,5.426841029382614,6.859309189493878
11.841709624672248,5.235357008315009,6.864213915268968
12.23703459263956,4.8444778203292405,6.098480213542422
11.169413334527645,4.945248745429551,6.0065810990463175
11.242115585200862,4.231515096512392,5.837167487618787
11.770969267969821,4.3886624500222995,5.919422875776934
11.463238544764826,3.578914707050182,5.266074729641016
12.015779517301667,3.719809509233538,5.447121354127264
11.267014447790972,3.3393958840220725,5.0030587809614815
10.852942361189733,4.2896559988984135,5.337018845694462
12.108394889045723,3.4446823686144876,5.386888414025025
11.060619197960163,4.137286041288288,5.755870671108219
10.99001320771332,4.550133064279629,5.792230944152762
10.015005681222982,4.850911161581667,5.875034675547158
10.218475104866018,5.0644137023366875,5.789004482331409
10.305461294854933,5.474282357733753,6.543369096361556
9.43383674416024,5.8931434415937325,6.715693590449863
9.960469234843128,6.1515595712912745,6.900903300601784
9.243431549671241,6.72820184071513,7.456118454480453
9.18064577689993,7.2570456399110075,7.574950221112805
8.823576189300358,6.482752464497651,7.063838394636913
9.867044880397092,6.192947845559879,6.723834384788899
8.772224902079456,6.432553491171283,6.89577734317807
8.11248868451802,6.999572973076116,7.18728526378393
8.941618351119555,5.6788976296090805,6.376503358319364
7.837465142424181,6.054963609287002,6.337558530147767
8.499857296044999,5.683310244222933,6.220325135453013
7.394111481203568,4.6306949598338205,5.348587698396072
7.719853518694242,4.610694923755584,5.145173795295672
8.523856116477184,4.622858815158741,5.081742855274694
8.867120257407398,3.787223572027096,5.153119689944241
8.686030035662945,3.69503715253569,4.969526544899239
8.67352000780185,3.535495725815407,4.304648043191572
